Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Final Batch Dispatch Time,CPU_webui [%],CPU_auth [%],CPU_recommender [%],CPU_image [%],CPU_registry [%]
0.5,0.0,0,0,0,0.0,0.0,3.1,1.67,0.81,1.26,0.47
1.5,1.0,0,0,0,0.0,1.51,2.73,0.8,2.33,1.89,0.34
2.5,2.0,0,0,0,0.0,2.131,3.96,2.3,3.64,1.17,0.24
3.5,2.0,0,0,0,0.0,2.875,5.01,0.61,4.18,1.42,0.6
4.5,3.0,8,0,0,0.837,4.454,3.16,1.91,1.42,1.65,0.43
5.5,4.0,4,0,0,0.021,5.418,3.41,2.96,3.03,1.18,0.32
6.5,5.0,5,0,0,0.019,6.458,5.82,1.14,3.12,1.57,0.49
7.5,6.0,6,0,0,0.017,7.468,5.07,1.48,3.14,1.54,0.42
8.5,7.0,7,0,0,0.017,8.477,3.8,1.96,7.05,1.65,0.99
9.5,7.0,7,0,0,0.015,9.478,5.01,1.59,5.01,1.21,0.83
10.5,8.0,7,0,0,0.014,10.297,4.02,1.04,2.78,1.68,0.67
11.5,9.0,10,0,0,0.014,11.441,4.22,2.09,6.31,1.98,0.99
12.5,10.0,10,0,0,0.014,12.463,5.27,1.49,8.38,2.52,0.72
13.5,11.0,11,0,0,0.013,13.363,2.88,2.48,7.0,2.34,0.55
14.5,12.0,12,0,0,0.013,14.403,3.3,1.72,3.42,3.0,1.04
15.5,12.0,12,0,0,0.013,15.423,4.69,3.2,4.97,1.54,0.85
16.5,13.0,13,0,0,0.012,16.444,4.34,1.87,7.84,2.42,0.55
17.5,14.0,14,0,0,0.012,17.488,6.12,2.22,5.12,2.14,0.73
18.5,15.0,15,0,0,0.013,18.471,4.84,2.97,7.09,3.2,0.61
19.5,16.0,16,0,0,0.013,19.447,4.41,1.81,7.82,1.76,0.53
20.5,17.0,17,0,0,0.011,20.483,8.04,2.75,5.49,1.8,1.0
21.5,17.0,17,0,0,0.011,21.43,6.02,3.4,6.8,1.92,1.2
22.5,18.0,17,0,0,0.012,22.415,6.54,1.72,2.25,1.22,0.55
23.5,19.0,18,0,0,0.011,23.414,4.93,2.86,5.8,2.07,0.96
24.5,20.0,22,0,0,0.01,24.427,6.16,2.97,7.18,2.01,0.73
25.5,21.0,21,0,0,0.125,25.494,7.12,3.35,5.91,2.52,0.78
26.5,22.0,21,0,0,0.009,26.428,5.77,2.2,10.45,2.67,0.77
27.5,22.0,23,0,0,0.009,27.486,7.6,2.15,5.86,3.44,0.72
28.5,23.0,23,0,0,0.008,28.46,6.6,3.32,7.56,3.03,0.91
29.5,24.0,23,0,0,0.009,29.46,7.14,3.24,8.63,2.32,0.75
30.5,25.0,25,0,0,0.008,30.46,6.93,3.28,10.81,2.21,0.99
31.5,26.0,27,0,0,0.008,31.45,10.04,3.4,6.71,2.96,0.94
32.5,27.0,26,0,0,0.006,32.439,7.97,2.84,10.82,2.11,0.91
33.5,27.0,26,0,0,0.007,33.441,6.71,3.39,9.09,3.68,0.78
34.5,28.0,30,0,0,0.006,34.493,9.13,3.49,7.81,3.41,0.86
35.5,29.0,20,0,0,0.009,35.471,6.84,2.94,10.18,2.64,1.14
36.5,30.0,39,0,0,0.094,36.516,8.71,4.55,9.99,2.07,1.1
37.5,31.0,31,0,0,0.018,37.491,6.27,3.78,9.0,3.65,0.82
38.5,32.0,29,0,0,0.016,38.444,7.19,2.84,10.21,2.97,1.05
39.5,32.0,34,0,0,0.016,39.448,9.02,3.94,9.52,3.64,1.18
40.5,33.0,34,0,0,0.015,40.486,9.82,3.02,10.48,2.28,0.71
41.5,34.0,33,0,0,0.014,41.46,9.3,4.14,11.5,2.83,1.16
42.5,35.0,36,0,0,0.015,42.493,9.11,4.42,13.08,3.18,0.93
43.5,36.0,19,0,0,0.014,43.489,9.04,3.29,9.05,3.25,1.19
44.5,37.0,52,0,0,0.173,44.485,7.78,4.42,14.3,3.05,0.94
45.5,37.0,39,0,0,0.017,45.512,8.69,4.09,8.17,3.59,0.73
46.5,38.0,37,0,0,0.018,46.462,9.15,4.39,11.07,2.79,0.78
47.5,39.0,38,0,0,0.018,47.458,11.13,5.09,12.37,3.3,1.13
48.5,40.0,42,0,0,0.016,48.48,10.42,3.86,12.11,3.48,1.18
49.5,41.0,39,0,0,0.016,49.471,8.04,3.61,10.95,3.73,0.96
50.5,42.0,44,0,0,0.139,50.502,10.69,3.59,11.76,3.87,1.28
51.5,42.0,41,0,0,0.034,51.483,9.84,3.63,11.33,2.96,0.82
52.5,43.0,44,0,0,0.029,52.506,9.64,4.13,11.38,2.8,1.15
53.5,44.0,44,0,0,0.032,53.497,11.34,4.44,13.73,4.25,0.94
54.5,45.0,43,0,0,0.025,54.462,11.99,4.45,13.18,3.83,1.06
55.5,46.0,48,0,0,0.023,55.5,12.01,4.84,11.79,3.33,1.21
56.5,47.0,47,0,0,0.121,56.498,10.03,4.4,14.37,4.53,1.04
57.5,47.0,46,0,0,0.02,57.467,10.67,5.27,13.48,3.81,1.14
58.5,48.0,48,0,0,0.019,58.482,11.58,4.29,14.43,4.39,1.43
59.5,49.0,48,0,0,0.019,59.485,12.5,6.14,14.34,3.88,1.13
60.5,50.0,51,0,0,0.016,60.447,10.9,4.93,12.34,4.93,1.42
61.5,51.0,52,0,0,0.014,61.443,11.39,4.1,12.92,4.82,1.04
62.5,52.0,50,0,0,0.015,62.462,10.43,4.02,15.07,3.86,1.38
63.5,52.0,53,0,0,0.016,63.452,10.32,4.95,14.86,4.47,1.56
64.5,53.0,54,0,0,0.016,64.522,12.88,4.58,14.1,4.36,0.79
65.5,54.0,52,0,0,0.017,65.441,13.67,5.2,14.49,4.76,1.14
