Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Final Batch Dispatch Time,CPU_webui [%],CPU_auth [%],CPU_recommender [%],CPU_image [%],CPU_registry [%]
0.5,0.0,0,0,0,0.0,0.0,3.41,1.68,1.93,1.32,0.43
1.5,1.0,0,0,0,0.0,1.511,1.81,0.77,3.39,1.77,0.46
2.5,2.0,0,0,0,0.0,2.128,4.27,1.2,0.98,1.27,0.49
3.5,2.0,0,0,0,0.0,2.874,4.85,2.45,3.23,1.53,0.97
4.5,3.0,8,0,0,0.809,4.454,4.0,2.3,3.16,1.2,0.66
5.5,4.0,4,0,0,0.022,5.417,6.02,2.27,3.89,2.03,0.69
6.5,5.0,5,0,0,0.019,6.457,3.09,2.57,3.81,1.03,0.83
7.5,6.0,6,0,0,0.018,7.472,2.76,2.93,7.28,2.33,0.69
8.5,7.0,7,0,0,0.016,8.475,2.35,2.56,2.85,1.46,0.6
9.5,7.0,7,0,0,0.014,9.486,6.28,2.41,3.01,0.77,0.62
10.5,8.0,7,0,0,0.015,10.299,5.49,3.15,3.07,1.6,0.66
11.5,9.0,10,0,0,0.014,11.443,4.86,2.6,3.37,1.25,0.68
12.5,10.0,10,0,0,0.014,12.465,5.47,3.58,3.44,2.06,0.85
13.5,11.0,11,0,0,0.013,13.365,3.99,2.46,6.37,1.36,0.73
14.5,12.0,12,0,0,0.013,14.405,8.49,4.24,6.9,1.52,0.89
15.5,12.0,12,0,0,0.013,15.425,5.71,3.91,3.92,0.79,0.72
16.5,13.0,13,0,0,0.012,16.446,5.88,3.92,3.71,1.56,0.77
17.5,14.0,14,0,0,0.012,17.49,6.82,4.49,5.84,0.62,0.37
18.5,15.0,15,0,0,0.014,18.473,6.72,5.04,4.49,1.09,0.97
19.5,16.0,16,0,0,0.011,19.449,6.61,4.78,6.44,2.31,0.87
20.5,17.0,17,0,0,0.012,20.486,5.58,3.2,5.97,2.37,1.02
21.5,17.0,17,0,0,0.011,21.433,7.1,3.54,3.39,2.19,0.24
22.5,18.0,17,0,0,0.011,22.42,8.98,4.07,8.16,1.54,1.25
23.5,19.0,20,0,0,0.011,23.427,8.52,4.59,8.7,2.04,0.82
24.5,20.0,20,0,0,0.011,24.416,9.0,5.01,5.25,2.11,1.08
25.5,21.0,20,0,0,0.078,25.407,6.66,4.39,5.76,1.58,0.67
26.5,22.0,22,0,0,0.009,26.442,6.27,5.06,6.93,2.95,1.01
27.5,22.0,22,0,0,0.009,27.481,7.3,4.5,7.0,2.64,0.68
28.5,23.0,24,0,0,0.008,28.465,7.7,4.71,7.65,2.13,0.78
29.5,24.0,23,0,0,0.009,29.483,9.12,4.36,9.84,2.3,1.3
30.5,25.0,26,0,0,0.008,30.502,5.96,4.77,6.72,2.43,0.89
31.5,26.0,24,0,0,0.008,31.44,10.0,4.64,5.95,1.35,0.99
32.5,27.0,28,0,0,0.006,32.43,8.15,4.98,5.24,2.29,1.13
33.5,27.0,26,0,0,0.006,33.464,7.82,6.2,6.21,2.07,1.06
34.5,28.0,30,0,0,0.006,34.483,7.29,5.12,7.41,1.96,1.0
35.5,29.0,19,0,0,0.008,35.461,6.69,7.39,10.31,2.36,1.06
36.5,30.0,40,0,0,0.087,36.505,9.84,6.22,6.99,3.44,1.48
37.5,31.0,30,0,0,0.018,37.453,9.11,6.15,8.26,2.9,1.0
38.5,32.0,32,0,0,0.016,38.491,7.64,5.64,8.05,2.33,1.07
39.5,32.0,33,0,0,0.017,39.529,7.63,6.58,9.86,2.91,1.24
40.5,33.0,33,0,0,0.016,40.48,8.95,5.93,12.02,3.36,1.26
41.5,34.0,34,0,0,0.016,41.486,11.52,6.46,7.58,3.16,1.29
42.5,35.0,33,0,0,0.014,42.458,9.37,8.04,7.79,2.77,1.19
43.5,36.0,21,0,0,0.015,43.49,8.04,6.56,10.24,2.46,0.85
44.5,37.0,54,0,0,0.233,44.509,9.71,7.42,9.85,3.17,1.42
45.5,37.0,36,0,0,0.019,45.496,9.68,6.31,11.6,3.02,0.86
46.5,38.0,37,0,0,0.019,46.456,6.93,6.82,9.85,3.31,1.16
47.5,39.0,41,0,0,0.017,47.502,10.27,8.02,8.58,3.22,0.97
48.5,40.0,40,0,0,0.019,48.483,10.21,6.69,10.15,3.46,1.12
49.5,41.0,39,0,0,0.018,49.474,11.49,8.27,11.07,2.71,1.21
50.5,42.0,42,0,0,0.181,50.474,13.03,7.72,10.78,3.67,1.22
51.5,42.0,42,0,0,0.033,51.463,12.16,6.95,10.32,3.11,1.24
52.5,43.0,44,0,0,0.029,52.49,10.64,7.78,11.3,4.09,1.49
53.5,44.0,45,0,0,0.025,53.511,9.8,8.09,11.59,2.75,1.27
54.5,45.0,44,0,0,0.028,54.469,14.37,7.99,12.06,4.0,1.14
55.5,46.0,44,0,0,0.026,55.471,11.51,6.79,11.1,3.27,1.4
56.5,47.0,49,0,0,0.123,56.49,11.61,7.4,10.01,2.88,1.45
57.5,47.0,46,0,0,0.018,57.47,11.56,7.69,10.49,2.96,0.97
58.5,48.0,49,0,0,0.019,58.486,11.98,7.9,12.22,3.08,1.35
59.5,49.0,50,0,0,0.016,59.499,11.73,8.42,9.32,3.49,1.38
60.5,50.0,50,0,0,0.017,60.443,11.36,8.26,11.24,3.58,1.19
61.5,51.0,51,0,0,0.017,61.479,11.55,7.46,10.23,3.07,1.54
62.5,52.0,50,0,0,0.016,62.458,12.32,8.6,11.0,3.38,1.25
63.5,52.0,54,0,0,0.017,63.42,11.71,8.74,12.88,4.46,1.3
64.5,53.0,53,0,0,0.016,64.432,11.65,8.81,11.39,4.29,1.25
65.5,54.0,53,0,0,0.015,65.44,12.79,9.23,11.31,3.68,1.3
66.5,55.0,56,0,0,0.022,66.444,12.5,9.19,9.33,3.52,1.09
67.5,56.0,56,0,0,0.014,67.478,14.76,9.07,12.63,3.6,1.04
