Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Final Batch Dispatch Time,CPU_webui [%],CPU_auth [%],CPU_recommender [%],CPU_image [%],CPU_registry [%]
0.5,8.0,0,0,0,0.0,0.418,1.93,1.74,4.96,0.79,0.65
1.5,16.0,0,0,0,0.0,1.449,5.14,1.35,4.23,1.11,0.76
2.5,25.0,33,15,0,0.555,2.489,6.43,3.29,5.18,1.1,0.59
3.5,33.0,34,0,0,0.015,3.499,4.75,4.61,5.49,1.8,0.56
4.5,41.0,41,0,0,0.013,4.494,8.51,5.59,6.97,2.32,0.99
5.5,50.0,48,0,0,0.014,5.441,7.7,4.18,8.79,2.77,1.09
6.5,58.0,60,0,0,0.012,6.499,9.19,5.64,6.95,2.4,0.97
7.5,66.0,66,0,0,0.113,7.475,11.65,5.48,7.95,2.43,0.82
8.5,75.0,75,0,0,0.009,8.514,11.57,6.16,9.22,2.84,0.68
9.5,83.0,83,0,0,0.01,9.458,10.85,8.21,8.31,2.49,0.7
10.5,91.0,67,0,0,0.008,10.505,10.76,6.11,9.74,4.1,1.0
11.5,100.0,124,0,0,0.41,11.438,9.98,7.6,10.95,2.42,1.01
12.5,108.0,106,0,0,0.028,12.479,12.34,8.1,13.59,3.45,1.24
13.5,116.0,31,8,0,0.022,13.478,13.58,8.84,13.28,4.51,1.11
14.5,125.0,95,0,0,0.959,14.419,13.35,8.66,13.85,3.66,0.71
15.5,133.0,161,0,0,0.541,15.433,14.99,9.15,15.42,3.69,1.25
16.5,141.0,164,0,0,0.875,16.428,15.84,9.09,14.52,3.74,0.86
17.5,150.0,92,0,0,0.324,17.481,16.15,9.88,15.96,3.98,1.02
18.5,158.0,229,0,0,0.754,18.44,16.23,9.86,15.78,4.89,1.17
19.5,166.0,209,0,0,0.093,19.418,17.8,10.79,16.9,3.22,1.54
20.5,175.0,177,0,0,0.034,20.445,18.78,10.58,16.25,5.24,1.79
21.5,183.0,183,0,0,0.04,21.47,17.51,11.36,14.02,3.89,1.32
22.5,191.0,191,0,0,0.038,22.484,21.08,11.46,18.02,4.59,1.18
23.5,200.0,200,0,0,0.11,23.433,19.9,12.52,20.97,4.65,1.35
24.5,208.0,208,0,0,0.087,24.471,20.6,12.15,20.76,5.28,1.45
25.5,216.0,213,3,0,0.058,25.474,21.99,11.44,21.35,4.31,1.23
26.5,225.0,222,0,0,0.011,26.419,22.03,13.63,22.35,5.48,1.68
27.5,233.0,236,0,0,0.008,27.551,23.44,12.65,21.15,6.38,1.39
28.5,241.0,241,0,0,0.006,28.509,23.19,13.12,21.84,4.8,1.46
29.5,250.0,250,0,0,0.006,29.489,22.71,13.51,21.2,5.71,1.52
30.5,258.0,258,0,0,0.018,30.508,24.42,15.01,22.16,5.41,1.5
31.5,266.0,266,0,0,0.05,31.498,23.14,13.22,24.07,6.07,1.6
32.5,275.0,244,0,0,0.053,32.448,25.24,16.73,25.52,5.99,1.34
33.5,283.0,314,0,0,0.042,33.481,25.59,15.79,24.01,5.78,1.37
34.5,291.0,288,0,0,0.053,34.431,25.9,15.6,24.05,6.46,1.29
35.5,300.0,293,0,0,0.058,35.482,26.58,15.78,25.28,7.25,1.62
36.5,308.0,318,0,0,0.022,36.435,24.99,16.29,26.68,6.36,1.71
37.5,316.0,305,0,0,0.023,37.425,27.11,16.73,24.1,6.93,1.67
38.5,325.0,328,0,0,0.011,38.411,28.45,17.15,23.38,6.05,1.93
39.5,333.0,341,0,0,0.007,39.525,29.04,17.39,26.48,6.33,1.62
40.5,341.0,341,0,0,0.006,40.428,28.12,17.41,25.96,7.16,1.78
41.5,350.0,350,0,0,0.018,41.476,31.44,17.57,27.58,7.79,1.45
42.5,358.0,336,0,0,0.061,42.491,29.38,17.9,28.6,7.33,1.61
43.5,366.0,388,0,0,0.039,43.485,32.08,18.16,28.62,7.11,1.85
44.5,375.0,355,0,0,0.075,44.462,31.99,19.29,32.01,7.39,1.9
45.5,383.0,403,0,0,0.06,45.439,31.19,19.26,30.8,6.87,1.69
46.5,391.0,391,0,0,0.014,46.457,34.59,17.43,31.23,7.91,1.76
47.5,400.0,400,0,0,0.019,47.455,31.58,19.91,32.24,8.17,1.49
48.5,408.0,408,0,0,0.008,48.489,34.6,19.92,30.07,7.61,1.75
49.5,416.0,404,0,0,0.006,49.452,35.18,20.08,33.8,7.71,2.02
50.5,425.0,425,0,0,0.052,50.464,33.72,20.18,32.65,8.19,1.98
51.5,433.0,445,0,0,0.06,51.487,36.68,21.37,34.23,7.95,1.98
52.5,441.0,428,0,0,0.078,52.467,35.19,21.55,32.08,8.24,1.91
53.5,450.0,463,0,0,0.043,53.464,36.37,20.83,31.87,9.44,1.93
54.5,458.0,458,0,0,0.016,54.475,36.81,21.82,35.89,8.37,1.81
55.5,466.0,466,0,0,0.012,55.48,36.81,21.28,35.68,8.42,2.11
56.5,475.0,475,0,0,0.007,56.424,38.48,21.34,34.27,8.39,2.07
57.5,483.0,482,0,0,0.023,57.451,38.93,22.07,34.77,9.19,2.11
58.5,491.0,492,0,0,0.059,58.472,36.35,23.24,38.22,8.83,1.92
59.5,500.0,471,0,0,0.077,59.465,40.54,23.61,35.25,8.72,1.62
60.5,508.0,537,0,0,0.052,60.452,37.44,23.62,39.95,9.8,2.29
61.5,516.0,513,0,0,0.018,61.468,41.14,24.02,36.58,9.96,1.99
62.5,525.0,528,0,0,0.009,62.444,41.77,24.21,39.39,9.06,1.94
63.5,533.0,533,0,0,0.008,63.463,39.58,23.78,38.38,8.53,2.27
64.5,541.0,521,0,0,0.156,64.426,40.85,24.7,40.22,10.07,2.07
65.5,550.0,551,0,0,0.071,65.454,40.53,25.22,38.99,9.34,2.39
66.5,558.0,555,0,0,0.099,66.448,42.06,25.47,40.01,10.17,2.32
67.5,566.0,558,0,0,0.016,67.405,42.4,26.0,40.75,8.89,2.35
68.5,575.0,597,0,0,0.014,68.408,44.22,26.01,39.68,10.44,1.96
69.5,583.0,591,0,0,0.01,69.478,45.31,26.06,42.73,9.49,2.5
70.5,591.0,591,0,0,0.089,70.497,45.87,26.76,41.28,10.56,2.32
71.5,600.0,547,0,0,0.106,71.524,44.02,26.4,42.19,10.31,2.22
72.5,608.0,625,0,0,0.079,72.43,44.9,26.16,41.48,9.93,2.34
73.5,616.0,652,0,0,0.016,73.482,43.58,26.85,39.56,10.3,1.98
74.5,625.0,625,0,0,0.01,74.478,45.13,26.8,43.6,10.96,2.44
75.5,633.0,615,0,0,0.049,75.469,47.7,27.11,47.93,10.76,2.17
76.5,641.0,638,0,0,0.125,76.489,48.93,27.69,45.92,11.1,2.12
77.5,650.0,665,0,0,0.177,77.419,46.01,27.59,45.19,11.91,2.11
78.5,658.0,664,0,0,0.016,78.48,47.22,28.14,45.25,10.23,2.65
79.5,666.0,666,0,0,0.012,79.438,48.34,27.45,46.1,11.92,2.32
80.5,675.0,675,0,0,0.04,80.526,49.2,29.01,47.36,11.28,2.78
81.5,683.0,538,0,0,0.164,81.429,48.34,29.14,45.19,10.87,2.38
82.5,691.0,632,0,0,0.358,82.416,50.25,28.91,49.06,10.75,2.17
83.5,700.0,904,0,0,0.095,83.457,49.67,30.09,48.93,11.43,2.31
84.5,708.0,703,0,0,0.011,84.445,50.66,30.51,49.35,12.08,2.8
85.5,716.0,606,0,0,0.055,85.441,51.76,29.24,49.35,11.65,2.54
86.5,725.0,640,0,0,0.24,86.42,51.6,30.04,49.19,12.58,2.48
87.5,733.0,933,0,0,0.243,87.483,51.51,30.29,50.59,11.19,2.64
88.5,741.0,741,0,0,0.017,88.451,52.33,30.44,50.88,12.01,2.72
89.5,750.0,750,0,0,0.018,89.503,52.84,31.79,49.93,11.5,2.87
90.5,758.0,674,0,0,0.226,90.518,52.93,31.43,50.01,12.4,2.95
91.5,766.0,481,0,0,0.334,91.451,53.49,31.64,51.44,12.75,2.61
92.5,775.0,1133,0,0,0.196,92.407,56.2,30.88,54.07,12.21,2.44
93.5,783.0,794,0,0,0.013,93.47,55.39,32.72,50.3,11.21,2.64
94.5,791.0,791,0,0,0.096,94.507,54.79,31.84,50.37,12.71,2.79
95.5,800.0,532,0,0,0.185,95.528,56.45,32.91,53.27,12.93,2.57
96.5,808.0,1076,0,0,0.19,96.491,55.64,33.29,53.51,13.01,2.59
97.5,816.0,816,0,0,0.015,97.5,57.87,34.19,54.1,13.52,2.86
98.5,825.0,730,0,0,0.058,98.537,57.39,32.87,54.66,12.47,2.81
99.5,833.0,580,0,0,0.163,99.445,57.24,32.09,54.37,13.44,2.84
100.5,841.0,1172,0,0,0.239,100.458,58.32,34.26,57.34,13.79,2.7
101.5,850.0,867,0,0,0.012,101.487,56.37,35.51,53.16,12.4,2.82
102.5,858.0,670,0,0,0.074,102.431,57.33,35.42,54.72,13.55,2.7
103.5,866.0,664,0,0,0.323,103.44,57.66,35.05,56.21,13.23,3.08
104.5,875.0,1265,0,0,0.206,104.452,59.74,34.91,54.35,13.54,3.13
105.5,883.0,883,0,0,0.02,105.511,62.06,35.93,56.96,13.85,2.57
106.5,891.0,645,0,0,0.184,106.461,63.08,35.11,60.11,13.52,2.78
107.5,900.0,599,0,0,0.408,107.446,61.63,36.25,58.1,13.53,2.68
108.5,908.0,1455,0,0,0.173,108.48,61.88,36.52,58.81,13.98,2.87
109.5,916.0,910,0,0,0.035,109.449,59.53,37.09,56.97,13.51,3.0
110.5,925.0,692,0,0,0.246,110.478,61.51,38.39,58.39,13.61,2.75
111.5,933.0,1019,0,0,0.286,111.494,61.63,37.21,59.15,14.58,2.87
112.5,941.0,1090,0,0,0.04,112.473,62.24,36.91,59.63,13.76,2.87
113.5,950.0,783,0,0,0.226,113.467,63.25,37.48,62.47,14.77,3.13
114.5,958.0,684,0,0,0.329,114.418,63.29,36.67,61.78,14.76,3.12
115.5,966.0,1404,0,0,0.174,115.459,61.89,37.56,59.67,13.75,2.98
116.5,975.0,940,0,0,0.041,116.43,65.62,38.0,62.15,14.38,3.18
117.5,983.0,715,0,0,0.255,117.482,63.85,38.17,62.92,15.41,3.05
118.5,991.0,1037,0,0,0.277,118.489,65.83,38.82,64.27,14.41,3.13
119.5,1000.0,1264,0,0,0.057,119.454,68.49,38.51,65.37,14.77,3.53
